招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
青海,青海大学,2008,504.00,498.00,,4,本科二三批,,文科,天津
青海,青海大学,2008,504.00,497.00,,4,本科二批,14,文科,天津
青海,青海大学,2007,494.00,482.00,,5,本科二三批,,文科,天津
青海,青海大学,2007,494.00,482.00,,5,本科二批,9,文科,天津
青海,青海大学,2006,472.00,452.00,,6,本科二批,16,文科,天津
青海,青海大学,2006,472.00,444.00,,10,本科二三批,,文科,天津
青海,青海大学,2005,473.00,464.00,,3,本科二批,4,文科,天津
青海,青海大学,2011,572.00,571.00,,2,本科一批,7,文科,重庆
青海,青海大学,2010,584.00,579.00,,2,本科一批,6,文科,重庆
青海,青海大学,2009,559.00,555.00,,4,本科一批,9,文科,重庆
青海,青海大学,2008,556.00,533.00,,4,本科二批,23,文科,重庆
青海,青海大学,2007,502.00,489.00,,4,本科二批,13,文科,重庆
青海,青海大学,2012,580.00,577.00,,8,本科一批,5,文科,河北
青海,青海大学,2011,573.00,568.00,,8,本科一批,6,文科,河北
青海,青海大学,2010,546.00,544.00,,5,本科一批,5,文科,河北
青海,青海大学,2009,539.00,539.00,,1,本科一批,0,文科,河北
青海,青海大学,2008,532.00,523.00,,9,本科二批,20,文科,河北
青海,青海大学,2007,562.00,555.00,,8,本科二批,17,文科,河北
青海,青海大学,2006,559.00,544.00,,12,本科二三批,,文科,河北
青海,青海大学,2006,559.00,545.00,,12,本科二批,15,文科,河北
青海,青海大学,2005,542.00,533.00,,9,本科二批,33,文科,河北
青海,青海大学,2004,,,571.00,,不详,,文科,河北
青海,青海大学,2003,,,516.00,,不详,,文科,河北
青海,青海大学,2002,,,,,不详,,文科,河北
青海,青海大学,2001,,542.00,,,不详,,文科,河北
青海,青海大学,2013,531.00,525.00,,11,本科一批,6,文科,河南
青海,青海大学,2012,573.00,562.00,,15,本科一批,5,文科,河南
青海,青海大学,2011,571.00,565.00,,10,本科一批,3,文科,河南
青海,青海大学,2010,544.00,539.00,,13,本科一批,7,文科,河南
青海,青海大学,2009,557.00,553.00,,4,本科一批,1,文科,河南
青海,青海大学,2008,554.00,540.00,,10,本科二批,27,文科,河南
青海,青海大学,2007,601.00,580.00,,15,本科二批,28,文科,河南
青海,青海大学,2006,591.00,571.00,,19,本科二三批,,文科,河南
青海,青海大学,2006,591.00,572.00,,19,本科二批,25,文科,河南
青海,青海大学,2005,576.00,554.00,,16,本科二批,32,文科,河南
青海,青海大学,2004,,,564.00,,不详,,文科,河南
青海,青海大学,2002,,,,,不详,,文科,河南
青海,青海大学,2001,,418.00,,,不详,,文科,河南
青海,青海大学,2013,582.00,577.00,,9,本科一批,7,文科,山东
青海,青海大学,2012,621.00,580.00,,10,本科一批,7,文科,山东
青海,青海大学,2011,589.00,574.00,,12,本科一批,4,文科,山东
青海,青海大学,2010,641.00,617.00,,10,本科一批,11,文科,山东
青海,青海大学,2009,604.00,602.00,,4,本科一批,6,文科,山东
青海,青海大学,2008,572.00,568.00,,3,本科二批,2,文科,山东
青海,青海大学,2007,603.00,586.00,,7,本科二批,9,文科,山东
青海,青海大学,2006,567.00,554.00,,25,本科二批,5,文科,山东
青海,青海大学,2006,567.00,551.00,,30,本科二三批,,文科,山东
青海,青海大学,2005,558.00,550.00,,6,本科二批,,文科,山东
青海,青海大学,2002,,,,,不详,,文科,山东
青海,青海大学,2001,,544.00,,,不详,,文科,山东
青海,青海大学,2010,536.00,534.00,,2,本科一批,1,文科,山西
青海,青海大学,2009,546.00,532.00,,2,本科二批,25,文科,山西
青海,青海大学,2008,535.00,522.00,,4,本科二批,12,文科,山西
青海,青海大学,2007,569.00,565.00,,4,本科二批,12,文科,山西
青海,青海大学,2006,552.00,543.00,,6,本科二三批,,文科,山西
青海,青海大学,2006,552.00,543.00,,6,本科二批,15,文科,山西
青海,青海大学,2005,533.00,519.00,,4,本科二批,22,文科,山西
青海,青海大学,2003,,,479.00,,不详,,文科,山西
青海,青海大学,2002,,,,,不详,,文科,山西
青海,青海大学,2001,,502.00,,,不详,,文科,山西
青海,青海大学,2012,583.00,578.00,,5,本科一批,1,文科,安徽
青海,青海大学,2011,552.00,549.00,,3,本科一批,2,文科,安徽
青海,青海大学,2010,582.00,576.00,,8,本科一批,3,文科,安徽
青海,青海大学,2009,550.00,549.00,,2,本科一批,6,文科,安徽
青海,青海大学,2008,538.00,536.00,,6,本科二批,23,文科,安徽
青海,青海大学,2007,537.00,529.00,,5,本科二批,14,文科,安徽
青海,青海大学,2011,533.00,532.00,,2,本科一批,0,文科,江西
青海,青海大学,2010,523.00,523.00,,1,本科一批,2,文科,江西
青海,青海大学,2009,530.00,523.00,,5,本科一批,8,文科,江西
青海,青海大学,2008,498.00,493.00,,6,本科二批,6,文科,江西
青海,青海大学,2007,559.00,552.00,,4,本科二批,14,文科,江西
青海,青海大学,2006,566.00,540.00,,10,本科二批,20,文科,江西
青海,青海大学,2006,566.00,539.00,,10,本科二三批,,文科,江西
青海,青海大学,2005,550.00,527.00,,8,本科二批,18,文科,江西
青海,青海大学,2002,,,,,不详,,文科,江西
青海,青海大学,2001,,517.00,,,不详,,文科,江西
青海,青海大学,2013,,,523.00,10,本科一批,,文科,浙江
青海,青海大学,2008,528.00,523.00,,4,本科二批,7,文科,浙江
青海,青海大学,2007,535.00,529.00,,4,本科二批,6,文科,浙江
青海,青海大学,2006,571.00,561.00,,4,本科二批,11,文科,浙江
青海,青海大学,2006,571.00,561.00,,4,本科二三批,,文科,浙江
青海,青海大学,2005,541.00,538.00,,5,本科二批,,文科,浙江
青海,青海大学,2004,,,535.00,,不详,,文科,浙江
青海,青海大学,2003,,,500.00,,不详,,文科,浙江
青海,青海大学,2002,,,,,不详,,文科,浙江
青海,青海大学,2013,539.00,533.00,,11,本科一批,2,文科,湖北
青海,青海大学,2012,565.00,563.00,,10,本科一批,2,文科,湖北
青海,青海大学,2011,551.00,549.00,,9,本科一批,2,文科,湖北
青海,青海大学,2010,539.00,535.00,,10,本科一批,5,文科,湖北
青海,青海大学,2009,540.00,528.00,,12,本科一批,10,文科,湖北
青海,青海大学,2008,521.00,514.00,,6,本科二批,6,文科,湖北
青海,青海大学,2007,518.00,507.00,,16,本科二批,7,文科,湖北
青海,青海大学,2006,551.00,525.00,,14,本科二三批,,文科,湖北
青海,青海大学,2006,551.00,526.00,,14,本科二批,7,文科,湖北
青海,青海大学,2005,504.00,491.00,,15,本科二批,,文科,湖北
青海,青海大学,2003,,,493.00,,不详,,文科,湖北
青海,青海大学,2002,,,,,不详,,文科,湖北
青海,青海大学,2012,581.00,575.00,,5,本科一批,4,文科,湖南
青海,青海大学,2011,584.00,583.00,,4,本科一批,0,文科,湖南
青海,青海大学,2010,596.00,585.00,,8,本科一批,7,文科,湖南
青海,青海大学,2010,,,578.00,,undefined,,文科,湖南
青海,青海大学,2009,555.00,554.00,,2,本科一批,0,文科,湖南
青海,青海大学,2008,570.00,564.00,,8,本科二批,27,文科,湖南
青海,青海大学,2007,555.00,546.00,,11,本科二批,20,文科,湖南
青海,青海大学,2006,581.00,574.00,,10,本科二批,18,文科,湖南
青海,青海大学,2006,581.00,574.00,,10,本科二三批,,文科,湖南
青海,青海大学,2005,563.00,556.00,,15,本科二批,23,文科,湖南
青海,青海大学,2002,,,,,不详,,文科,湖南
青海,青海大学,2001,,521.00,,,不详,,文科,湖南
青海,青海大学,2006,567.00,564.00,,5,本科二三批,,文科,广东
青海,青海大学,2005,585.00,571.00,,3,本科二批,,文科,广东
青海,青海大学,2009,527.00,525.00,,2,本科一批,2,文科,广西
青海,青海大学,2008,506.00,489.00,,3,本科二批,19,文科,广西
青海,青海大学,2007,570.00,558.00,,4,本科二批,36,文科,广西
青海,青海大学,2006,517.00,513.00,,4,本科二三批,,文科,广西
青海,青海大学,2006,517.00,513.00,,4,本科二批,13,文科,广西
青海,青海大学,2005,518.00,514.00,,4,本科二批,10,文科,广西
青海,青海大学,2002,,,,,不详,,文科,广西
青海,青海大学,2010,518.00,513.00,,3,本科一批,18,文科,云南
青海,青海大学,2009,572.00,553.00,,4,本科一批,33,文科,云南
青海,青海大学,2008,533.00,528.00,,4,本科二批,18,文科,云南
青海,青海大学,2007,561.00,550.00,,4,本科二批,20,文科,云南
青海,青海大学,2006,536.00,524.00,,8,本科二批,19,文科,云南
青海,青海大学,2006,536.00,524.00,,8,本科二三批,,文科,云南
青海,青海大学,2005,518.00,502.00,,5,本科二批,22,文科,云南
青海,青海大学,2002,,,,,不详,,文科,云南
青海,青海大学,2001,,458.00,,,不详,,文科,云南
青海,青海大学,2010,523.00,518.00,,3,本科一批,4,文科,贵州
青海,青海大学,2009,566.00,559.00,,3,本科一批,27,文科,贵州
青海,青海大学,2008,545.00,533.00,,5,本科二批,30,文科,贵州
青海,青海大学,2007,534.00,522.00,,2,本科二批,26,文科,贵州
青海,青海大学,2006,536.00,512.00,,7,本科二批,49,文科,贵州
青海,青海大学,2006,536.00,512.00,,7,本科二三批,,文科,贵州
青海,青海大学,2005,537.00,525.00,,8,本科二批,49,文科,贵州
青海,青海大学,2002,,,,,不详,,文科,贵州
青海,青海大学,2010,557.00,547.00,,5,本科一批,4,文科,四川
青海,青海大学,2009,555.00,543.00,,10,本科一批,3,文科,四川
青海,青海大学,2008,576.00,561.00,,8,本科二批,13,文科,四川
青海,青海大学,2007,537.00,524.00,,4,本科二批,15,文科,四川
青海,青海大学,2006,532.00,518.00,,4,本科二批,16,文科,四川
青海,青海大学,2006,532.00,518.00,,4,本科二三批,,文科,四川
青海,青海大学,2005,552.00,544.00,,4,本科二批,25,文科,四川
青海,青海大学,2001,,476.00,,,不详,,文科,四川
青海,青海大学,2013,553.00,550.00,,9,本科一批,10,文科,陕西
青海,青海大学,2012,571.00,559.00,,16,本科一批,3,文科,陕西
