招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
江苏,南京大学,2013,689.00,670.00,,38,本科一批,120,理科,北京
江苏,南京大学,2012,655.00,622.00,,42,本科一批,145,理科,北京
江苏,南京大学,2011,656.00,625.00,,53,本科一批,141,理科,北京
江苏,南京大学,2010,658.00,629.00,,55,本科一批,135,理科,北京
江苏,南京大学,2009,667.00,617.00,,51,本科一批,116,理科,北京
江苏,南京大学,2008,656.00,629.00,,48,本科一批,127,理科,北京
江苏,南京大学,2007,667.00,634.00,,46,本科一批,103,理科,北京
江苏,南京大学,2006,675.00,634.00,,38,本科一批,106,理科,北京
江苏,南京大学,2005,627.00,593.00,,39,本科一批,123,理科,北京
江苏,南京大学,2004,,,,,不详,,理科,北京
江苏,南京大学,2003,,,,,不详,,理科,北京
江苏,南京大学,2002,,,,,不详,,理科,北京
江苏,南京大学,2001,,592.00,,,不详,,理科,北京
江苏,南京大学,2013,661.00,650.00,,32,本科一批,129,理科,天津
江苏,南京大学,2012,682.00,667.00,,37,本科一批,137,理科,天津
江苏,南京大学,2011,666.00,648.00,,39,本科一批,133,理科,天津
江苏,南京大学,2010,651.00,634.00,,33,本科一批,125,理科,天津
江苏,南京大学,2009,648.00,626.00,,34,本科一批,124,理科,天津
江苏,南京大学,2008,666.00,637.00,,39,本科一批,115,理科,天津
江苏,南京大学,2007,666.00,620.00,,29,本科一批,111,理科,天津
江苏,南京大学,2006,661.00,626.00,,34,本科一批,121,理科,天津
江苏,南京大学,2005,622.00,602.00,,27,本科一批,144,理科,天津
江苏,南京大学,2004,,,,,不详,,理科,天津
江苏,南京大学,2003,,,,,不详,,理科,天津
江苏,南京大学,2002,,,,,不详,,理科,天津
江苏,南京大学,2001,,643.00,,,不详,,理科,天津
江苏,南京大学,2013,494.00,477.00,,30,本科一批,72,理科,上海
江苏,南京大学,2012,512.00,492.00,,34,本科一批,69,理科,上海
江苏,南京大学,2011,541.00,522.00,,38,本科一批,60,理科,上海
江苏,南京大学,2010,533.00,517.00,,39,本科一批,52,理科,上海
江苏,南京大学,2009,526.00,507.00,,41,本科一批,52,理科,上海
江苏,南京大学,2008,534.00,523.00,,40,本科一批,56,理科,上海
江苏,南京大学,2007,530.00,509.00,,39,本科一批,48,理科,上海
江苏,南京大学,2006,555.00,498.00,,38,本科一批,32,理科,上海
江苏,南京大学,2005,612.00,529.00,,35,本科一批,,理科,上海
江苏,南京大学,2004,,,,,不详,,理科,上海
江苏,南京大学,2003,,,,,不详,,理科,上海
江苏,南京大学,2002,,,,,不详,,理科,上海
江苏,南京大学,2001,,485.00,,,不详,,理科,上海
江苏,南京大学,2013,647.00,638.00,,37,本科一批,118,理科,重庆
江苏,南京大学,2012,663.00,651.00,,41,本科一批,129,理科,重庆
江苏,南京大学,2011,654.00,648.00,,37,本科一批,115,理科,重庆
江苏,南京大学,2010,660.00,647.00,,50,本科一批,114,理科,重庆
江苏,南京大学,2009,670.00,649.00,,34,本科一批,92,理科,重庆
江苏,南京大学,2009,639.00,614.00,,5,本科提前批,,理科,重庆
江苏,南京大学,2008,677.00,659.00,,37,本科一批,115,理科,重庆
江苏,南京大学,2008,614.00,581.00,,5,本科提前批,,理科,重庆
江苏,南京大学,2007,644.00,627.00,,37,本科一批,122,理科,重庆
江苏,南京大学,2006,662.00,647.00,,38,本科一批,116,理科,重庆
江苏,南京大学,2005,677.00,640.00,,30,本科一批,92,理科,重庆
江苏,南京大学,2004,,,,,不详,,理科,重庆
江苏,南京大学,2003,,,,,不详,,理科,重庆
江苏,南京大学,2002,,,,,不详,,理科,重庆
江苏,南京大学,2001,,655.00,,,不详,,理科,重庆
江苏,南京大学,2013,659.00,653.00,,33,本科一批,115,理科,河北
江苏,南京大学,2012,672.00,665.00,,29,本科一批,101,理科,河北
江苏,南京大学,2011,682.00,668.00,,33,本科一批,87,理科,河北
江苏,南京大学,2010,657.00,649.00,,32,本科一批,88,理科,河北
江苏,南京大学,2009,662.00,652.00,,28,本科一批,83,理科,河北
江苏,南京大学,2008,650.00,629.00,,25,本科一批,77,理科,河北
江苏,南京大学,2007,671.00,657.00,,22,本科一批,70,理科,河北
江苏,南京大学,2006,652.00,642.00,,18,本科一批,65,理科,河北
江苏,南京大学,2006,641.00,616.00,,3,本科提前批,,理科,河北
江苏,南京大学,2005,648.00,630.00,,17,本科一批,79,理科,河北
江苏,南京大学,2004,,,,,不详,,理科,河北
江苏,南京大学,2003,,,,,不详,,理科,河北
江苏,南京大学,2002,,,,,不详,,理科,河北
江苏,南京大学,2001,,642.00,,,不详,,理科,河北
江苏,南京大学,2013,633.00,625.00,,46,本科一批,120,理科,河南
江苏,南京大学,2012,667.00,644.00,,42,本科一批,104,理科,河南
江苏,南京大学,2011,667.00,661.00,,42,本科一批,79,理科,河南
江苏,南京大学,2010,644.00,633.00,,48,本科一批,81,理科,河南
江苏,南京大学,2009,668.00,637.00,,55,本科一批,70,理科,河南
江苏,南京大学,2008,654.00,628.00,,35,本科一批,65,理科,河南
江苏,南京大学,2007,671.00,655.00,,38,本科一批,59,理科,河南
江苏,南京大学,2006,669.00,634.00,,32,本科一批,44,理科,河南
江苏,南京大学,2005,682.00,642.00,,32,本科一批,74,理科,河南
江苏,南京大学,2004,,,,,不详,,理科,河南
江苏,南京大学,2003,,,,,不详,,理科,河南
江苏,南京大学,2002,,,,,不详,,理科,河南
江苏,南京大学,2001,,506.00,,,不详,,理科,河南
江苏,南京大学,2013,678.00,670.00,,62,本科一批,116,理科,山东
江苏,南京大学,2012,695.00,678.00,,73,本科一批,96,理科,山东
江苏,南京大学,2011,680.00,663.00,,96,本科一批,96,理科,山东
江苏,南京大学,2010,684.00,668.00,,64,本科一批,88,理科,山东
江苏,南京大学,2010,657.00,638.00,,6,本科提前批,,理科,山东
江苏,南京大学,2009,684.00,666.00,,74,本科一批,80,理科,山东
江苏,南京大学,2009,656.00,635.00,,4,本科提前批,,理科,山东
江苏,南京大学,2008,672.00,658.00,,57,本科一批,76,理科,山东
江苏,南京大学,2008,630.00,603.00,,5,本科提前批,,理科,山东
江苏,南京大学,2007,663.00,653.00,,59,本科一批,80,理科,山东
江苏,南京大学,2007,645.00,629.00,,8,本科提前批,,理科,山东
江苏,南京大学,2006,673.00,655.00,,49,本科一批,72,理科,山东
江苏,南京大学,2006,648.00,641.00,,7,本科提前批,,理科,山东
江苏,南京大学,2005,687.00,671.00,,69,本科一批,74,理科,山东
江苏,南京大学,2005,662.00,658.00,,6,本科提前批,,理科,山东
江苏,南京大学,2004,,,,,不详,,理科,山东
江苏,南京大学,2003,,,,,不详,,理科,山东
江苏,南京大学,2002,,,,,不详,,理科,山东
江苏,南京大学,2001,,664.00,,,不详,,理科,山东
江苏,南京大学,2013,614.00,602.00,,39,本科一批,109,理科,山西
江苏,南京大学,2012,651.00,632.00,,41,本科一批,102,理科,山西
江苏,南京大学,2011,660.00,640.00,,39,本科一批,70,理科,山西
江苏,南京大学,2010,629.00,597.00,,27,本科一批,61,理科,山西
江苏,南京大学,2009,667.00,627.00,,28,本科一批,80,理科,山西
江苏,南京大学,2008,639.00,621.00,,19,本科一批,75,理科,山西
江苏,南京大学,2007,664.00,642.00,,24,本科一批,70,理科,山西
江苏,南京大学,2006,644.00,618.00,,22,本科一批,66,理科,山西
江苏,南京大学,2005,641.00,613.00,,21,本科一批,81,理科,山西
江苏,南京大学,2004,,,,,不详,,理科,山西
江苏,南京大学,2003,,,,,不详,,理科,山西
江苏,南京大学,2002,,,,,不详,,理科,山西
江苏,南京大学,2001,,634.00,,,不详,,理科,山西
江苏,南京大学,2013,631.00,620.00,,45,本科一批,130,理科,安徽
江苏,南京大学,2012,665.00,655.00,,41,本科一批,111,理科,安徽
江苏,南京大学,2011,662.00,650.00,,63,本科一批,116,理科,安徽
江苏,南京大学,2010,668.00,656.00,,96,本科一批,94,理科,安徽
江苏,南京大学,2009,674.00,664.00,,69,本科一批,85,理科,安徽
江苏,南京大学,2009,651.00,649.00,,5,本科提前批,,理科,安徽
江苏,南京大学,2008,661.00,644.00,,60,本科一批,81,理科,安徽
江苏,南京大学,2007,659.00,646.00,,42,本科一批,83,理科,安徽
江苏,南京大学,2006,675.00,644.00,,54,本科一批,78,理科,安徽
江苏,南京大学,2006,623.00,622.00,,3,本科提前批,,理科,安徽
江苏,南京大学,2005,669.00,626.00,,56,本科一批,85,理科,安徽
江苏,南京大学,2004,,,,,不详,,理科,安徽
江苏,南京大学,2002,,,,,不详,,理科,安徽
江苏,南京大学,2001,,635.00,,,不详,,理科,安徽
江苏,南京大学,2013,647.00,636.00,,52,本科一批,119,理科,江西
江苏,南京大学,2012,664.00,651.00,,45,本科一批,104,理科,江西
江苏,南京大学,2011,643.00,634.00,,62,本科一批,103,理科,江西
江苏,南京大学,2010,622.00,613.00,,57,本科一批,98,理科,江西
江苏,南京大学,2009,634.00,621.00,,43,本科一批,103,理科,江西
江苏,南京大学,2008,617.00,607.00,,39,本科一批,95,理科,江西
江苏,南京大学,2007,661.00,651.00,,44,本科一批,80,理科,江西
江苏,南京大学,2007,636.00,622.00,,7,本科提前批,,理科,江西
江苏,南京大学,2006,646.00,620.00,,40,本科一批,70,理科,江西
江苏,南京大学,2006,630.00,610.00,,6,本科提前批,,理科,江西
江苏,南京大学,2005,669.00,631.00,,44,本科一批,86,理科,江西
江苏,南京大学,2004,,,,,不详,,理科,江西
江苏,南京大学,2003,,,,,不详,,理科,江西
江苏,南京大学,2002,,,,,不详,,理科,江西
江苏,南京大学,2001,,653.00,,,不详,,理科,江西
江苏,南京大学,2013,,,382.00,,本科一批,,理科,江苏
江苏,南京大学,2008,427.00,,,,本科一批,,理科,江苏
江苏,南京大学,2007,680.00,650.00,,1393,本科一批,,理科,江苏
江苏,南京大学,2007,634.00,628.00,,9,本科提前批,,理科,江苏
江苏,南京大学,2006,667.00,639.00,,1317,本科一批,,理科,江苏
江苏,南京大学,2006,643.00,614.00,,10,本科提前批,,理科,江苏
江苏,南京大学,2005,666.00,633.00,,1499,本科一批,,理科,江苏
江苏,南京大学,2005,635.00,608.00,,13,本科提前批,,理科,江苏
江苏,南京大学,2004,,,,,不详,,理科,江苏
江苏,南京大学,2002,,,,,不详,,理科,江苏
江苏,南京大学,2001,,637.00,,,不详,,理科,江苏
江苏,南京大学,2013,,,694.00,,本科一批,,理科,浙江
江苏,南京大学,2010,659.00,637.00,,54,本科一批,86,理科,浙江
江苏,南京大学,2008,648.00,623.00,,53,本科一批,73,理科,浙江
江苏,南京大学,2007,671.00,643.00,,49,本科一批,75,理科,浙江
江苏,南京大学,2006,664.00,632.00,,47,本科一批,62,理科,浙江
江苏,南京大学,2006,636.00,596.00,,4,本科提前批,,理科,浙江
江苏,南京大学,2005,658.00,637.00,,40,本科一批,,理科,浙江
江苏,南京大学,2004,,,,,不详,,理科,浙江
江苏,南京大学,2003,,,,,不详,,理科,浙江
江苏,南京大学,2002,,,,,不详,,理科,浙江
江苏,南京大学,2001,,652.00,,,不详,,理科,浙江
江苏,南京大学,2013,645.00,640.00,,38,本科一批,113,理科,湖北
江苏,南京大学,2012,656.00,649.00,,41,本科一批,98,理科,湖北
江苏,南京大学,2011,667.00,661.00,,41,本科一批,90,理科,湖北
江苏,南京大学,2010,651.00,644.00,,35,本科一批,87,理科,湖北
江苏,南京大学,2009,656.00,636.00,,38,本科一批,96,理科,湖北
江苏,南京大学,2009,629.00,609.00,,5,本科提前批,,理科,湖北
江苏,南京大学,2008,650.00,640.00,,41,本科一批,92,理科,湖北
江苏,南京大学,2008,633.00,608.00,,6,本科提前批,,理科,湖北
江苏,南京大学,2007,644.00,637.00,,48,本科一批,89,理科,湖北
江苏,南京大学,2006,639.00,627.00,,31,本科一批,81,理科,湖北
江苏,南京大学,2006,616.00,594.00,,5,本科提前批,78,理科,湖北
江苏,南京大学,2005,629.00,621.00,,30,本科一批,97,理科,湖北
江苏,南京大学,2004,,,,,不详,,理科,湖北
江苏,南京大学,2002,,,,,不详,,理科,湖北
江苏,南京大学,2001,,645.00,,,不详,,理科,湖北
江苏,南京大学,2013,647.00,621.00,,43,本科一批,126,理科,湖南
江苏,南京大学,2012,642.00,630.00,,47,本科一批,110,理科,湖南
江苏,南京大学,2011,666.00,659.00,,51,本科一批,87,理科,湖南
江苏,南京大学,2010,655.00,646.00,,47,本科一批,79,理科,湖南
江苏,南京大学,2009,637.00,618.00,,46,本科一批,84,理科,湖南
江苏,南京大学,2008,633.00,618.00,,39,本科一批,82,理科,湖南
江苏,南京大学,2007,636.00,622.00,,35,本科一批,87,理科,湖南
江苏,南京大学,2006,652.00,629.00,,39,本科一批,82,理科,湖南
江苏,南京大学,2005,645.00,618.00,,31,本科一批,74,理科,湖南
江苏,南京大学,2004,,,,,不详,,理科,湖南
江苏,南京大学,2002,,,,,不详,,理科,湖南
江苏,南京大学,2001,,640.00,,,不详,,理科,湖南
江苏,南京大学,2013,669.00,660.00,,64,本科一批,86,理科,广东
江苏,南京大学,2012,668.00,660.00,,48,本科一批,75,理科,广东
江苏,南京大学,2011,653.00,642.00,,49,本科一批,74,理科,广东
江苏,南京大学,2010,686.00,678.00,,45,本科一批,57,理科,广东
江苏,南京大学,2009,666.00,657.00,,49,本科一批,72,理科,广东
江苏,南京大学,2008,662.00,645.00,,41,本科一批,81,理科,广东
江苏,南京大学,2007,655.00,634.00,,39,本科一批,77,理科,广东
江苏,南京大学,2006,856.00,775.00,,76,本科一批,,理科,广东
江苏,南京大学,2005,852.00,764.00,,74,本科一批,,理科,广东
江苏,南京大学,2004,,,,,不详,,理科,广东
江苏,南京大学,2003,,,,,不详,,理科,广东
江苏,南京大学,2002,,,,,不详,,理科,广东
江苏,南京大学,2001,,788.00,,,不详,,理科,广东
江苏,南京大学,2013,638.00,626.00,,31,本科一批,116,理科,广西
江苏,南京大学,2012,655.00,641.00,,30,本科一批,113,理科,广西
江苏,南京大学,2011,638.00,616.00,,26,本科一批,110,理科,广西
江苏,南京大学,2010,630.00,610.00,,28,本科一批,110,理科,广西
江苏,南京大学,2009,632.00,614.00,,30,本科一批,107,理科,广西
江苏,南京大学,2008,618.00,580.00,,26,本科一批,79,理科,广西
江苏,南京大学,2007,658.00,634.00,,28,本科一批,89,理科,广西
江苏,南京大学,2006,644.00,632.00,,29,本科一批,94,理科,广西
江苏,南京大学,2005,669.00,650.00,,31,本科一批,78,理科,广西
江苏,南京大学,2004,,,,,不详,,理科,广西
江苏,南京大学,2003,,,,,不详,,理科,广西
江苏,南京大学,2002,,,,,不详,,理科,广西
江苏,南京大学,2001,,773.00,,,不详,,理科,广西
江苏,南京大学,2013,659.00,641.00,,27,本科一批,146,理科,云南
江苏,南京大学,2012,637.00,628.00,,26,本科一批,163,理科,云南
江苏,南京大学,2011,627.00,618.00,,28,本科一批,153,理科,云南
江苏,南京大学,2010,650.00,629.00,,24,本科一批,129,理科,云南
江苏,南京大学,2009,648.00,630.00,,25,本科一批,130,理科,云南
江苏,南京大学,2008,660.00,647.00,,23,本科一批,117,理科,云南
江苏,南京大学,2007,680.00,664.00,,19,本科一批,104,理科,云南
江苏,南京大学,2006,670.00,658.00,,16,本科一批,108,理科,云南
江苏,南京大学,2005,677.00,654.00,,16,本科一批,124,理科,云南
江苏,南京大学,2004,,,,,不详,,理科,云南
江苏,南京大学,2002,,,,,不详,,理科,云南
江苏,南京大学,2001,,583.00,,,不详,,理科,云南
江苏,南京大学,2013,629.00,613.00,,35,本科一批,164,理科,贵州
江苏,南京大学,2012,660.00,630.00,,34,本科一批,160,理科,贵州
江苏,南京大学,2011,616.00,598.00,,38,本科一批,150,理科,贵州
江苏,南京大学,2010,637.00,618.00,,48,本科一批,137,理科,贵州
江苏,南京大学,2009,623.00,605.00,,39,本科一批,128,理科,贵州
江苏,南京大学,2008,647.00,623.00,,32,本科一批,102,理科,贵州
江苏,南京大学,2007,670.00,635.00,,38,本科一批,99,理科,贵州
江苏,南京大学,2006,668.00,625.00,,44,本科一批,102,理科,贵州
江苏,南京大学,2005,661.00,639.00,,35,本科一批,103,理科,贵州
江苏,南京大学,2004,,,,,不详,,理科,贵州
江苏,南京大学,2003,,,,,不详,,理科,贵州
江苏,南京大学,2002,,,,,不详,,理科,贵州
江苏,南京大学,2001,,626.00,,,不详,,理科,贵州
江苏,南京大学,2013,670.00,654.00,,53,本科一批,92,理科,四川
江苏,南京大学,2012,628.00,619.00,,49,本科一批,101,理科,四川
江苏,南京大学,2011,635.00,618.00,,55,本科一批,99,理科,四川
江苏,南京大学,2010,619.00,606.00,,72,本科一批,94,理科,四川
江苏,南京大学,2009,612.00,600.00,,41,本科一批,102,理科,四川
江苏,南京大学,2008,691.00,682.00,,31,本科一批,89,理科,四川
江苏,南京大学,2007,648.00,635.00,,45,本科一批,103,理科,四川
江苏,南京大学,2006,659.00,645.00,,33,本科一批,85,理科,四川
江苏,南京大学,2006,623.00,601.00,,6,本科提前批,,理科,四川
江苏,南京大学,2005,692.00,677.00,,31,本科一批,82,理科,四川
江苏,南京大学,2004,,,,,不详,,理科,四川
江苏,南京大学,2002,,,,,不详,,理科,四川
江苏,南京大学,2001,,636.00,,,不详,,理科,四川
江苏,南京大学,2013,667.00,658.00,,33,本科一批,173,理科,陕西
江苏,南京大学,2012,681.00,670.00,,36,本科一批,153,理科,陕西
江苏,南京大学,2011,678.00,672.00,,39,本科一批,132,理科,陕西
江苏,南京大学,2010,672.00,664.00,,37,本科一批,108,理科,陕西
江苏,南京大学,2009,675.00,649.00,,44,本科一批,112,理科,陕西
江苏,南京大学,2008,671.00,634.00,,32,本科一批,107,理科,陕西
江苏,南京大学,2008,628.00,596.00,,6,本科提前批,,理科,陕西
江苏,南京大学,2007,674.00,648.00,,33,本科一批,121,理科,陕西
江苏,南京大学,2007,657.00,633.00,,7,本科提前批,,理科,陕西
江苏,南京大学,2006,679.00,650.00,,24,本科一批,105,理科,陕西
江苏,南京大学,2006,654.00,626.00,,8,本科提前批,,理科,陕西
江苏,南京大学,2005,694.00,678.00,,32,本科一批,111,理科,陕西
江苏,南京大学,2004,,,,,不详,,理科,陕西
江苏,南京大学,2003,,,,,不详,,理科,陕西
江苏,南京大学,2002,,,,,不详,,理科,陕西
江苏,南京大学,2001,,776.00,,,不详,,理科,陕西
江苏,南京大学,2013,596.00,587.00,,16,本科一批,204,理科,青海
江苏,南京大学,2012,616.00,603.00,,13,本科一批,202,理科,青海
江苏,南京大学,2011,595.00,572.00,,12,本科一批,192,理科,青海
江苏,南京大学,2010,605.00,597.00,,13,本科一批,192,理科,青海
江苏,南京大学,2009,586.00,576.00,,12,本科一批,176,理科,青海
江苏,南京大学,2008,623.00,609.00,,11,本科一批,171,理科,青海
江苏,南京大学,2007,642.00,628.00,,13,本科一批,161,理科,青海
江苏,南京大学,2006,623.00,601.00,,14,本科一批,167,理科,青海
江苏,南京大学,2005,636.00,611.00,,15,本科一批,181,理科,青海
江苏,南京大学,2004,,,,,不详,,理科,青海
江苏,南京大学,2002,,,,,不详,,理科,青海
江苏,南京大学,2013,618.00,606.00,,12,本科一批,151,理科,宁夏
江苏,南京大学,2012,593.00,577.00,,13,本科一批,137,理科,宁夏
江苏,南京大学,2011,621.00,609.00,,11,本科一批,123,理科,宁夏
江苏,南京大学,2010,607.00,588.00,,10,本科一批,114,理科,宁夏
江苏,南京大学,2009,604.00,591.00,,13,本科一批,123,理科,宁夏
江苏,南京大学,2008,625.00,613.00,,15,本科一批,115,理科,宁夏
江苏,南京大学,2007,639.00,618.00,,9,本科一批,87,理科,宁夏
江苏,南京大学,2006,638.00,629.00,,14,本科一批,,理科,宁夏
江苏,南京大学,2005,629.00,607.00,,14,本科一批,103,理科,宁夏
江苏,南京大学,2004,,,,,不详,,理科,宁夏
江苏,南京大学,2003,,,,,不详,,理科,宁夏
江苏,南京大学,2002,,,,,不详,,理科,宁夏
江苏,南京大学,2001,,600.00,,,不详,,理科,宁夏
江苏,南京大学,2012,669.00,642.00,,26,本科一批,128,理科,黑龙江
江苏,南京大学,2011,682.00,660.00,,38,本科一批,109,理科,黑龙江
江苏,南京大学,2010,665.00,648.00,,28,本科一批,116,理科,黑龙江
江苏,南京大学,2009,674.00,648.00,,25,本科一批,110,理科,黑龙江
江苏,南京大学,2008,690.00,665.00,,24,本科一批,88,理科,黑龙江
江苏,南京大学,2007,686.00,666.00,,20,本科一批,78,理科,黑龙江
江苏,南京大学,2006,681.00,660.00,,23,本科一批,82,理科,黑龙江
江苏,南京大学,2005,686.00,661.00,,16,本科一批,79,理科,黑龙江
江苏,南京大学,2004,,,,,不详,,理科,黑龙江
江苏,南京大学,2003,,,,,不详,,理科,黑龙江
江苏,南京大学,2002,,,,,不详,,理科,黑龙江
江苏,南京大学,2001,,623.00,,,不详,,理科,黑龙江
江苏,南京大学,2013,668.00,662.00,,20,本科一批,127,理科,吉林
江苏,南京大学,2012,656.00,645.00,,23,本科一批,130,理科,吉林
江苏,南京大学,2011,670.00,661.00,,26,本科一批,113,理科,吉林
江苏,南京大学,2010,656.00,648.00,,28,本科一批,118,理科,吉林
江苏,南京大学,2009,660.00,643.00,,22,本科一批,104,理科,吉林
江苏,南京大学,2008,669.00,663.00,,19,本科一批,94,理科,吉林
江苏,南京大学,2007,672.00,648.00,,16,本科一批,74,理科,吉林
江苏,南京大学,2006,681.00,665.00,,14,本科一批,95,理科,吉林
江苏,南京大学,2006,648.00,638.00,,4,本科提前批,,理科,吉林
江苏,南京大学,2005,685.00,656.00,,18,本科一批,94,理科,吉林
江苏,南京大学,2004,,,,,不详,,理科,吉林
江苏,南京大学,2002,,,,,不详,,理科,吉林
江苏,南京大学,2001,,631.00,,,不详,,理科,吉林
江苏,南京大学,2013,671.00,660.00,,28,本科一批,122,理科,辽宁
江苏,南京大学,2012,660.00,643.00,,33,本科一批,126,理科,辽宁
江苏,南京大学,2011,665.00,648.00,,32,本科一批,128,理科,辽宁
江苏,南京大学,2010,662.00,646.00,,21,本科一批,128,理科,辽宁
江苏,南京大学,2010,611.00,592.00,,5,本科提前批,,理科,辽宁
江苏,南京大学,2009,655.00,641.00,,29,本科一批,121,理科,辽宁
江苏,南京大学,2008,654.00,636.00,,27,本科一批,121,理科,辽宁
江苏,南京大学,2008,603.00,597.00,,6,本科提前批,,理科,辽宁
江苏,南京大学,2007,670.00,635.00,,27,本科一批,116,理科,辽宁
江苏,南京大学,2007,623.00,603.00,,6,本科提前批,,理科,辽宁
江苏,南京大学,2006,646.00,615.00,,30,本科一批,112,理科,辽宁
江苏,南京大学,2005,634.00,614.00,,39,本科一批,,理科,辽宁
江苏,南京大学,2004,,,,,不详,,理科,辽宁
江苏,南京大学,2002,,,,,不详,,理科,辽宁
江苏,南京大学,2001,,639.00,,,不详,,理科,辽宁
江苏,南京大学,2013,603.00,594.00,,5,本科一批,124,理科,西藏
江苏,南京大学,2012,579.00,571.00,,4,本科一批,111,理科,西藏
江苏,南京大学,2011,599.00,582.00,,4,本科一批,132,理科,西藏
江苏,南京大学,2010,619.00,598.00,,4,本科一批,143,理科,西藏
江苏,南京大学,2009,599.00,577.00,,2,本科一批,127,理科,西藏
江苏,南京大学,2008,655.00,619.00,,4,本科一批,119,理科,西藏
江苏,南京大学,2007,641.00,594.00,,3,本科一批,79,理科,西藏
江苏,南京大学,2006,651.00,627.00,,2,本科一批,257,理科,西藏
江苏,南京大学,2005,626.00,605.00,,3,本科一批,125,理科,西藏
江苏,南京大学,2004,,,,,不详,,理科,西藏
江苏,南京大学,2013,643.00,626.00,,20,本科一批,183,理科,新疆
江苏,南京大学,2012,632.00,615.00,,22,本科一批,170,理科,新疆
江苏,南京大学,2011,652.00,641.00,,22,本科一批,168,理科,新疆
江苏,南京大学,2010,673.00,636.00,,23,本科一批,165,理科,新疆
江苏,南京大学,2009,645.00,622.00,,16,本科一批,142,理科,新疆
江苏,南京大学,2008,659.00,644.00,,16,本科一批,129,理科,新疆
江苏,南京大学,2007,663.00,645.00,,16,本科一批,127,理科,新疆
江苏,南京大学,2006,675.00,637.00,,22,本科一批,117,理科,新疆
江苏,南京大学,2005,682.00,653.00,,10,本科一批,146,理科,新疆
江苏,南京大学,2004,,,,,不详,,理科,新疆
江苏,南京大学,2003,,,,,不详,,理科,新疆
江苏,南京大学,2002,,,,,不详,,理科,新疆
江苏,南京大学,2001,,590.00,,,不详,,理科,新疆
江苏,南京大学,2013,640.00,631.00,,20,本科一批,149,理科,内蒙古
江苏,南京大学,2012,637.00,619.00,,20,本科一批,150,理科,内蒙古
江苏,南京大学,2011,644.00,621.00,,19,本科一批,139,理科,内蒙古
江苏,南京大学,2010,653.00,637.00,,13,本科一批,127,理科,内蒙古
江苏,南京大学,2009,640.00,628.00,,16,本科一批,127,理科,内蒙古
江苏,南京大学,2008,664.00,644.00,,16,本科一批,96,理科,内蒙古
江苏,南京大学,2007,662.00,648.00,,12,本科一批,89,理科,内蒙古
江苏,南京大学,2006,659.00,646.00,,17,本科一批,89,理科,内蒙古
江苏,南京大学,2005,661.00,651.00,,11,本科一批,96,理科,内蒙古
江苏,南京大学,2004,,,,,不详,,理科,内蒙古
江苏,南京大学,2003,,,,,不详,,理科,内蒙古
江苏,南京大学,2002,,,,,不详,,理科,内蒙古
江苏,南京大学,2001,,615.00,,,不详,,理科,内蒙古
江苏,南京大学,2013,824.00,798.00,,17,本科一批,190,理科,海南
江苏,南京大学,2012,825.00,810.00,,16,本科一批,196,理科,海南
江苏,南京大学,2011,833.00,809.00,,19,本科一批,194,理科,海南
江苏,南京大学,2010,829.00,809.00,,15,本科一批,185,理科,海南
江苏,南京大学,2009,829.00,812.00,,15,本科一批,180,理科,海南
江苏,南京大学,2008,813.00,805.00,,16,本科一批,180,理科,海南
江苏,南京大学,2007,816.00,764.00,,15,本科一批,73,理科,海南
江苏,南京大学,2006,775.00,740.00,,12,本科一批,171,理科,海南
江苏,南京大学,2005,759.00,730.00,,8,本科一批,,理科,海南
江苏,南京大学,2004,,,,,不详,,理科,海南
江苏,南京大学,2003,,,,,不详,,理科,海南
江苏,南京大学,2002,,,,,不详,,理科,海南
江苏,南京大学,2001,,743.00,,,不详,,理科,海南
江苏,南京大学,2013,652.00,640.00,,46,本科一批,139,理科,福建
江苏,南京大学,2012,660.00,653.00,,44,本科一批,107,理科,福建
江苏,南京大学,2011,678.00,669.00,,45,本科一批,96,理科,福建
江苏,南京大学,2010,658.00,637.00,,74,本科一批,98,理科,福建
江苏,南京大学,2009,665.00,655.00,,41,本科一批,86,理科,福建
江苏,南京大学,2008,632.00,621.00,,40,本科一批,87,理科,福建
江苏,南京大学,2007,652.00,643.00,,43,本科一批,81,理科,福建
江苏,南京大学,2006,652.00,640.00,,45,本科一批,79,理科,福建
江苏,南京大学,2005,643.00,623.00,,33,本科一批,81,理科,福建
江苏,南京大学,2005,608.00,608.00,,1,本科提前批,,理科,福建
江苏,南京大学,2004,,,,,不详,,理科,福建
江苏,南京大学,2003,,,,,不详,,理科,福建
江苏,南京大学,2002,,,,,不详,,理科,福建
江苏,南京大学,2001,,751.00,,,不详,,理科,福建
江苏,南京大学,2013,636.00,625.00,,36,本科一批,136,理科,甘肃
江苏,南京大学,2012,643.00,635.00,,26,本科一批,118,理科,甘肃
江苏,南京大学,2011,630.00,621.00,,29,本科一批,120,理科,甘肃
江苏,南京大学,2010,653.00,642.00,,23,本科一批,111,理科,甘肃
江苏,南京大学,2009,637.00,621.00,,22,本科一批,100,理科,甘肃
江苏,南京大学,2008,662.00,649.00,,27,本科一批,91,理科,甘肃
江苏,南京大学,2007,676.00,645.00,,17,本科一批,83,理科,甘肃
江苏,南京大学,2006,671.00,653.00,,16,本科一批,87,理科,甘肃
江苏,南京大学,2005,687.00,659.00,,18,本科一批,101,理科,甘肃
