招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
四川,电子科技大学,2013,656.00,615.00,,38,本科一批,65,理科,北京
四川,电子科技大学,2012,626.00,552.00,,42,本科一批,75,理科,北京
四川,电子科技大学,2011,615.00,553.00,,53,本科一批,69,理科,北京
四川,电子科技大学,2010,600.00,566.00,,50,本科一批,72,理科,北京
四川,电子科技大学,2009,594.00,547.00,,51,本科一批,46,理科,北京
四川,电子科技大学,2008,632.00,552.00,,47,本科一批,50,理科,北京
四川,电子科技大学,2007,639.00,579.00,,52,本科一批,48,理科,北京
四川,电子科技大学,2006,606.00,567.00,,41,本科一批,39,理科,北京
四川,电子科技大学,2005,603.00,507.00,,44,本科一批,37,理科,北京
四川,电子科技大学,2004,,,,,不详,,理科,北京
四川,电子科技大学,2003,,,,,不详,,理科,北京
四川,电子科技大学,2002,,,,,不详,,理科,北京
四川,电子科技大学,2001,,534.00,,,不详,,理科,北京
四川,电子科技大学,2013,623.00,596.00,,41,本科一批,75,理科,天津
四川,电子科技大学,2012,637.00,606.00,,60,本科一批,76,理科,天津
四川,电子科技大学,2011,610.00,584.00,,62,本科一批,69,理科,天津
四川,电子科技大学,2010,599.00,565.00,,70,本科一批,56,理科,天津
四川,电子科技大学,2009,609.00,546.00,,55,本科一批,44,理科,天津
四川,电子科技大学,2008,629.00,587.00,,39,本科一批,65,理科,天津
四川,电子科技大学,2007,617.00,574.00,,43,本科一批,65,理科,天津
四川,电子科技大学,2006,616.00,556.00,,36,本科一批,51,理科,天津
四川,电子科技大学,2005,593.00,511.00,,45,本科一批,53,理科,天津
四川,电子科技大学,2004,,,,,不详,,理科,天津
四川,电子科技大学,2003,,,,,不详,,理科,天津
四川,电子科技大学,2002,,,,,不详,,理科,天津
四川,电子科技大学,2001,,575.00,,,不详,,理科,天津
四川,电子科技大学,2013,447.00,429.00,,5,本科一批,24,理科,上海
四川,电子科技大学,2007,459.00,454.00,,2,本科一批,,理科,上海
四川,电子科技大学,2006,492.00,485.00,,2,本科一批,19,理科,上海
四川,电子科技大学,2005,492.00,486.00,,2,本科一批,,理科,上海
四川,电子科技大学,2003,,,,,不详,,理科,上海
四川,电子科技大学,2002,,,,,不详,,理科,上海
四川,电子科技大学,2001,,443.00,,,不详,,理科,上海
四川,电子科技大学,2013,618.00,586.00,,172,本科一批,66,理科,重庆
四川,电子科技大学,2012,634.00,595.00,,176,本科一批,73,理科,重庆
四川,电子科技大学,2011,623.00,605.00,,147,本科一批,72,理科,重庆
四川,电子科技大学,2010,644.00,621.00,,25,本科提前批,,理科,重庆
四川,电子科技大学,2010,630.00,601.00,,187,本科一批,68,理科,重庆
四川,电子科技大学,2009,656.00,644.00,,15,本科提前批,,理科,重庆
四川,电子科技大学,2009,647.00,614.00,,184,本科一批,57,理科,重庆
四川,电子科技大学,2008,670.00,615.00,,19,本科提前批,,理科,重庆
四川,电子科技大学,2008,651.00,616.00,,135,本科一批,72,理科,重庆
四川,电子科技大学,2007,638.00,590.00,,172,本科一批,85,理科,重庆
四川,电子科技大学,2007,557.00,529.00,,10,本科提前批,,理科,重庆
四川,电子科技大学,2006,645.00,608.00,,153,本科一批,77,理科,重庆
四川,电子科技大学,2006,570.00,554.00,,7,本科提前批,,理科,重庆
四川,电子科技大学,2005,663.00,608.00,,172,本科一批,60,理科,重庆
四川,电子科技大学,2005,649.00,620.00,,41,本科提前批,,理科,重庆
四川,电子科技大学,2004,,,,,不详,,理科,重庆
四川,电子科技大学,2003,,,,,不详,,理科,重庆
四川,电子科技大学,2002,,,,,不详,,理科,重庆
四川,电子科技大学,2001,,611.00,,,不详,,理科,重庆
四川,电子科技大学,2013,625.00,605.00,,240,本科一批,67,理科,河北
四川,电子科技大学,2012,643.00,622.00,,233,本科一批,58,理科,河北
四川,电子科技大学,2011,652.00,633.00,,208,本科一批,52,理科,河北
四川,电子科技大学,2010,632.00,632.00,,1,本科提前批,,理科,河北
四川,电子科技大学,2010,630.00,609.00,,199,本科一批,48,理科,河北
四川,电子科技大学,2009,647.00,644.00,,3,本科提前批,,理科,河北
四川,电子科技大学,2009,637.00,614.00,,190,本科一批,45,理科,河北
四川,电子科技大学,2008,632.00,594.00,,152,本科一批,42,理科,河北
四川,电子科技大学,2007,650.00,627.00,,125,本科一批,40,理科,河北
四川,电子科技大学,2006,637.00,614.00,,102,本科一批,37,理科,河北
四川,电子科技大学,2005,613.00,595.00,,122,本科一批,44,理科,河北
四川,电子科技大学,2004,,,,,不详,,理科,河北
四川,电子科技大学,2003,,,,,不详,,理科,河北
四川,电子科技大学,2002,,,,,不详,,理科,河北
四川,电子科技大学,2001,,619.00,,,不详,,理科,河北
四川,电子科技大学,2013,601.00,577.00,,270,本科一批,72,理科,河南
四川,电子科技大学,2012,627.00,602.00,,248,本科一批,62,理科,河南
四川,电子科技大学,2011,649.00,629.00,,212,本科一批,47,理科,河南
四川,电子科技大学,2010,634.00,623.00,,6,本科提前批,,理科,河南
四川,电子科技大学,2010,616.00,598.00,,206,本科一批,46,理科,河南
四川,电子科技大学,2009,642.00,637.00,,10,本科提前批,,理科,河南
四川,电子科技大学,2009,636.00,606.00,,167,本科一批,39,理科,河南
四川,电子科技大学,2008,637.00,598.00,,143,本科一批,35,理科,河南
四川,电子科技大学,2008,600.00,582.00,,7,本科提前批,,理科,河南
四川,电子科技大学,2007,663.00,632.00,,141,本科一批,36,理科,河南
四川,电子科技大学,2007,644.00,617.00,,10,本科提前批,,理科,河南
四川,电子科技大学,2006,661.00,616.00,,80,本科一批,26,理科,河南
四川,电子科技大学,2006,637.00,617.00,,10,本科提前批,,理科,河南
四川,电子科技大学,2005,649.00,609.00,,76,本科一批,41,理科,河南
四川,电子科技大学,2005,629.00,599.00,,17,本科提前批,,理科,河南
四川,电子科技大学,2004,,,,,不详,,理科,河南
四川,电子科技大学,2003,,,,,不详,,理科,河南
四川,电子科技大学,2002,,,,,不详,,理科,河南
四川,电子科技大学,2001,,485.00,,,不详,,理科,河南
四川,电子科技大学,2013,661.00,628.00,,186,本科一批,74,理科,山东
四川,电子科技大学,2012,671.00,644.00,,185,本科一批,62,理科,山东
四川,电子科技大学,2011,648.00,623.00,,182,本科一批,56,理科,山东
四川,电子科技大学,2010,653.00,626.00,,175,本科一批,46,理科,山东
四川,电子科技大学,2010,629.00,606.00,,12,本科提前批,,理科,山东
四川,电子科技大学,2009,649.00,626.00,,150,本科一批,40,理科,山东
四川,电子科技大学,2009,622.00,616.00,,5,本科提前批,,理科,山东
四川,电子科技大学,2008,649.00,621.00,,135,本科一批,39,理科,山东
四川,电子科技大学,2008,613.00,592.00,,5,本科提前批,,理科,山东
四川,电子科技大学,2007,637.00,613.00,,139,本科一批,40,理科,山东
四川,电子科技大学,2007,595.00,583.00,,5,本科提前批,,理科,山东
四川,电子科技大学,2006,649.00,620.00,,88,本科一批,37,理科,山东
四川,电子科技大学,2006,617.00,591.00,,8,本科提前批,,理科,山东
四川,电子科技大学,2005,658.00,632.00,,94,本科一批,35,理科,山东
四川,电子科技大学,2004,,,,,不详,,理科,山东
四川,电子科技大学,2003,,,,,不详,,理科,山东
四川,电子科技大学,2002,,,,,不详,,理科,山东
四川,电子科技大学,2001,,614.00,,,不详,,理科,山东
四川,电子科技大学,2013,579.00,558.00,,168,本科一批,65,理科,山西
四川,电子科技大学,2012,608.00,591.00,,157,本科一批,61,理科,山西
四川,电子科技大学,2011,656.00,613.00,,161,本科一批,43,理科,山西
四川,电子科技大学,2010,611.00,577.00,,166,本科一批,41,理科,山西
四川,电子科技大学,2009,637.00,582.00,,140,本科一批,35,理科,山西
四川,电子科技大学,2008,629.00,584.00,,127,本科一批,38,理科,山西
四川,电子科技大学,2007,642.00,615.00,,100,本科一批,43,理科,山西
四川,电子科技大学,2007,604.00,583.00,,10,本科提前批,,理科,山西
四川,电子科技大学,2006,639.00,589.00,,89,本科一批,37,理科,山西
四川,电子科技大学,2005,632.00,566.00,,94,本科一批,34,理科,山西
四川,电子科技大学,2004,,,,,不详,,理科,山西
四川,电子科技大学,2003,,,,,不详,,理科,山西
四川,电子科技大学,2002,,,,,不详,,理科,山西
四川,电子科技大学,2001,,594.00,,,不详,,理科,山西
四川,电子科技大学,2013,594.00,573.00,,256,本科一批,83,理科,安徽
四川,电子科技大学,2012,637.00,622.00,,233,本科一批,78,理科,安徽
四川,电子科技大学,2011,630.00,609.00,,216,本科一批,75,理科,安徽
四川,电子科技大学,2010,636.00,621.00,,189,本科一批,59,理科,安徽
四川,电子科技大学,2009,658.00,644.00,,6,本科提前批,,理科,安徽
四川,电子科技大学,2009,646.00,628.00,,173,本科一批,49,理科,安徽
四川,电子科技大学,2008,636.00,606.00,,162,本科一批,43,理科,安徽
四川,电子科技大学,2007,636.00,605.00,,121,本科一批,42,理科,安徽
四川,电子科技大学,2006,645.00,615.00,,86,本科一批,49,理科,安徽
四川,电子科技大学,2005,627.00,591.00,,78,本科一批,50,理科,安徽
四川,电子科技大学,2004,,,,,不详,,理科,安徽
四川,电子科技大学,2003,,,,,不详,,理科,安徽
四川,电子科技大学,2002,,,,,不详,,理科,安徽
四川,电子科技大学,2001,,586.00,,,不详,,理科,安徽
四川,电子科技大学,2013,603.00,585.00,,184,本科一批,68,理科,江西
四川,电子科技大学,2012,623.00,608.00,,194,本科一批,61,理科,江西
四川,电子科技大学,2011,603.00,589.00,,153,本科一批,58,理科,江西
四川,电子科技大学,2010,592.00,571.00,,157,本科一批,56,理科,江西
四川,电子科技大学,2009,592.00,574.00,,152,本科一批,56,理科,江西
四川,电子科技大学,2008,586.00,559.00,,145,本科一批,47,理科,江西
四川,电子科技大学,2007,631.00,610.00,,114,本科一批,39,理科,江西
四川,电子科技大学,2006,618.00,586.00,,80,本科一批,36,理科,江西
四川,电子科技大学,2005,617.00,584.00,,99,本科一批,39,理科,江西
四川,电子科技大学,2004,,,,,不详,,理科,江西
四川,电子科技大学,2003,,,,,不详,,理科,江西
四川,电子科技大学,2002,,,,,不详,,理科,江西
四川,电子科技大学,2001,,605.00,,,不详,,理科,江西
四川,电子科技大学,2013,,,359.00,,本科一批,,理科,江苏
四川,电子科技大学,2007,645.00,623.00,,141,本科一批,,理科,江苏
四川,电子科技大学,2007,603.00,602.00,,2,本科提前批,,理科,江苏
四川,电子科技大学,2006,637.00,611.00,,141,本科一批,,理科,江苏
四川,电子科技大学,2006,591.00,582.00,,6,本科提前批,,理科,江苏
四川,电子科技大学,2005,618.00,595.00,,173,本科一批,,理科,江苏
四川,电子科技大学,2004,,,,,不详,,理科,江苏
四川,电子科技大学,2003,,,,,不详,,理科,江苏
四川,电子科技大学,2002,,,,,不详,,理科,江苏
四川,电子科技大学,2001,,591.00,,,不详,,理科,江苏
四川,电子科技大学,2013,,,665.00,,本科一批,,理科,浙江
四川,电子科技大学,2010,623.00,601.00,,158,本科一批,50,理科,浙江
四川,电子科技大学,2008,620.00,587.00,,123,本科一批,37,理科,浙江
四川,电子科技大学,2007,634.00,615.00,,104,本科一批,47,理科,浙江
四川,电子科技大学,2006,629.00,615.00,,101,本科一批,45,理科,浙江
四川,电子科技大学,2005,615.00,587.00,,101,本科一批,,理科,浙江
四川,电子科技大学,2004,,,,,不详,,理科,浙江
四川,电子科技大学,2003,,,,,不详,,理科,浙江
四川,电子科技大学,2002,,,,,不详,,理科,浙江
四川,电子科技大学,2001,,602.00,,,不详,,理科,浙江
四川,电子科技大学,2013,637.00,588.00,,124,本科一批,61,理科,湖北
四川,电子科技大学,2012,632.00,601.00,,151,本科一批,50,理科,湖北
四川,电子科技大学,2011,627.00,615.00,,144,本科一批,44,理科,湖北
四川,电子科技大学,2010,623.00,590.00,,140,本科一批,33,理科,湖北
四川,电子科技大学,2009,602.00,582.00,,148,本科一批,42,理科,湖北
四川,电子科技大学,2008,623.00,582.00,,121,本科一批,34,理科,湖北
四川,电子科技大学,2008,576.00,576.00,,1,本科提前批,,理科,湖北
四川,电子科技大学,2007,616.00,578.00,,94,本科一批,30,理科,湖北
四川,电子科技大学,2006,616.00,589.00,,80,本科一批,43,理科,湖北
四川,电子科技大学,2005,610.00,563.00,,95,本科一批,39,理科,湖北
四川,电子科技大学,2004,,,,,不详,,理科,湖北
四川,电子科技大学,2003,,,,,不详,,理科,湖北
四川,电子科技大学,2002,,,,,不详,,理科,湖北
四川,电子科技大学,2001,,600.00,,,不详,,理科,湖北
四川,电子科技大学,2013,592.00,567.00,,133,本科一批,72,理科,湖南
四川,电子科技大学,2012,610.00,586.00,,167,本科一批,66,理科,湖南
四川,电子科技大学,2011,627.00,612.00,,157,本科一批,40,理科,湖南
四川,电子科技大学,2010,618.00,599.00,,146,本科一批,32,理科,湖南
四川,电子科技大学,2009,598.00,569.00,,152,本科一批,35,理科,湖南
四川,电子科技大学,2008,601.00,568.00,,125,本科一批,32,理科,湖南
四川,电子科技大学,2007,625.00,582.00,,96,本科一批,47,理科,湖南
四川,电子科技大学,2006,608.00,595.00,,70,本科一批,48,理科,湖南
四川,电子科技大学,2005,606.00,585.00,,93,本科一批,41,理科,湖南
四川,电子科技大学,2005,588.00,570.00,,3,本科提前批,,理科,湖南
四川,电子科技大学,2004,,,,,不详,,理科,湖南
四川,电子科技大学,2003,,,,,不详,,理科,湖南
四川,电子科技大学,2002,,,,,不详,,理科,湖南
四川,电子科技大学,2001,,604.00,,,不详,,理科,湖南
四川,电子科技大学,2013,628.00,611.00,,153,本科一批,37,理科,广东
四川,电子科技大学,2012,634.00,614.00,,132,本科一批,29,理科,广东
四川,电子科技大学,2011,632.00,595.00,,121,本科一批,27,理科,广东
四川,电子科技大学,2010,667.00,643.00,,130,本科一批,22,理科,广东
四川,电子科技大学,2009,636.00,605.00,,110,本科一批,20,理科,广东
四川,电子科技大学,2008,620.00,590.00,,100,本科一批,26,理科,广东
四川,电子科技大学,2007,628.00,580.00,,90,本科一批,23,理科,广东
四川,电子科技大学,2006,748.00,694.00,,70,本科一批,,理科,广东
四川,电子科技大学,2005,750.00,676.00,,70,本科一批,,理科,广东
四川,电子科技大学,2004,,,,,不详,,理科,广东
四川,电子科技大学,2003,,,,,不详,,理科,广东
四川,电子科技大学,2002,,,,,不详,,理科,广东
四川,电子科技大学,2001,,685.00,,,不详,,理科,广东
四川,电子科技大学,2013,609.00,574.00,,120,本科一批,64,理科,广西
四川,电子科技大学,2012,619.00,594.00,,100,本科一批,66,理科,广西
四川,电子科技大学,2011,619.00,570.00,,89,本科一批,64,理科,广西
四川,电子科技大学,2010,584.00,557.00,,88,本科一批,57,理科,广西
四川,电子科技大学,2009,595.00,560.00,,89,本科一批,53,理科,广西
四川,电子科技大学,2008,582.00,537.00,,65,本科一批,36,理科,广西
四川,电子科技大学,2007,622.00,590.00,,62,本科一批,45,理科,广西
四川,电子科技大学,2006,617.00,596.00,,62,本科一批,58,理科,广西
四川,电子科技大学,2005,644.00,617.00,,60,本科一批,45,理科,广西
四川,电子科技大学,2004,,,,,不详,,理科,广西
四川,电子科技大学,2003,,,,,不详,,理科,广西
四川,电子科技大学,2002,,,,,不详,,理科,广西
四川,电子科技大学,2001,,709.00,,,不详,,理科,广西
四川,电子科技大学,2013,624.00,597.00,,131,本科一批,102,理科,云南
四川,电子科技大学,2012,603.00,569.00,,112,本科一批,104,理科,云南
四川,电子科技大学,2011,616.00,561.00,,110,本科一批,96,理科,云南
四川,电子科技大学,2010,616.00,581.00,,105,本科一批,81,理科,云南
四川,电子科技大学,2010,616.00,610.00,,5,本科提前批,,理科,云南
四川,电子科技大学,2009,618.00,575.00,,83,本科一批,75,理科,云南
四川,电子科技大学,2009,613.00,580.00,,19,本科提前批,,理科,云南
四川,电子科技大学,2008,632.00,600.00,,89,本科一批,70,理科,云南
四川,电子科技大学,2008,609.00,572.00,,15,本科提前批,,理科,云南
四川,电子科技大学,2007,653.00,628.00,,56,本科一批,68,理科,云南
四川,电子科技大学,2006,649.00,618.00,,62,本科一批,68,理科,云南
四川,电子科技大学,2006,604.00,575.00,,10,本科提前批,,理科,云南
四川,电子科技大学,2005,638.00,600.00,,71,本科一批,70,理科,云南
四川,电子科技大学,2005,600.00,560.00,,5,本科提前批,,理科,云南
四川,电子科技大学,2004,,,,,不详,,理科,云南
四川,电子科技大学,2003,,,,,不详,,理科,云南
四川,电子科技大学,2002,,,,,不详,,理科,云南
四川,电子科技大学,2001,,531.00,,,不详,,理科,云南
四川,电子科技大学,2013,591.00,546.00,,108,本科一批,97,理科,贵州
四川,电子科技大学,2012,599.00,564.00,,89,本科一批,94,理科,贵州
四川,电子科技大学,2011,568.00,531.00,,85,本科一批,83,理科,贵州
四川,电子科技大学,2010,576.00,549.00,,91,本科一批,68,理科,贵州
四川,电子科技大学,2009,586.00,540.00,,88,本科一批,63,理科,贵州
四川,电子科技大学,2008,623.00,587.00,,58,本科一批,66,理科,贵州
四川,电子科技大学,2007,627.00,590.00,,64,本科一批,54,理科,贵州
四川,电子科技大学,2007,597.00,566.00,,5,本科提前批,,理科,贵州
四川,电子科技大学,2006,632.00,584.00,,61,本科一批,61,理科,贵州
四川,电子科技大学,2005,628.00,592.00,,66,本科一批,56,理科,贵州
四川,电子科技大学,2004,,,,,不详,,理科,贵州
四川,电子科技大学,2003,,,,,不详,,理科,贵州
四川,电子科技大学,2002,,,,,不详,,理科,贵州
四川,电子科技大学,2001,,550.00,,,不详,,理科,贵州
四川,电子科技大学,2013,649.00,621.00,,555,本科一批,59,理科,四川
四川,电子科技大学,2012,609.00,579.00,,640,本科一批,61,理科,四川
四川,电子科技大学,2011,612.00,572.00,,941,本科一批,53,理科,四川
四川,电子科技大学,2010,612.00,572.00,,52,本科提前批,,理科,四川
四川,电子科技大学,2010,601.00,557.00,,1041,本科一批,45,理科,四川
四川,电子科技大学,2009,602.00,557.00,,44,本科提前批,,理科,四川
四川,电子科技大学,2009,590.00,540.00,,1225,本科一批,42,理科,四川
四川,电子科技大学,2008,688.00,679.00,,10,本科提前批,,理科,四川
四川,电子科技大学,2008,679.00,639.00,,884,本科一批,46,理科,四川
四川,电子科技大学,2007,639.00,595.00,,1064,本科一批,63,理科,四川
四川,电子科技大学,2006,650.00,609.00,,1013,本科一批,49,理科,四川
四川,电子科技大学,2006,616.00,585.00,,46,本科提前批,,理科,四川
四川,电子科技大学,2005,689.00,643.00,,787,本科一批,48,理科,四川
四川,电子科技大学,2004,,,,,不详,,理科,四川
四川,电子科技大学,2003,,,,,不详,,理科,四川
四川,电子科技大学,2002,,,,,不详,,理科,四川
四川,电子科技大学,2001,,582.00,,,不详,,理科,四川
四川,电子科技大学,2013,615.00,593.00,,127,本科一批,108,理科,陕西
四川,电子科技大学,2012,637.00,607.00,,149,本科一批,90,理科,陕西
四川,电子科技大学,2011,638.00,615.00,,103,本科一批,75,理科,陕西
四川,电子科技大学,2010,642.00,609.00,,108,本科一批,53,理科,陕西
四川,电子科技大学,2009,629.00,579.00,,92,本科一批,42,理科,陕西
四川,电子科技大学,2008,644.00,562.00,,68,本科一批,35,理科,陕西
四川,电子科技大学,2008,592.00,561.00,,18,本科提前批,,理科,陕西
四川,电子科技大学,2007,640.00,595.00,,55,本科一批,68,理科,陕西
四川,电子科技大学,2007,602.00,562.00,,25,本科提前批,,理科,陕西
四川,电子科技大学,2006,642.00,608.00,,45,本科一批,63,理科,陕西
四川,电子科技大学,2006,617.00,573.00,,33,本科提前批,,理科,陕西
四川,电子科技大学,2005,661.00,628.00,,74,本科一批,61,理科,陕西
四川,电子科技大学,2004,,,,,不详,,理科,陕西
四川,电子科技大学,2003,,,,,不详,,理科,陕西
四川,电子科技大学,2002,,,,,不详,,理科,陕西
四川,电子科技大学,2001,,683.00,,,不详,,理科,陕西
四川,电子科技大学,2013,546.00,503.00,,28,本科一批,120,理科,青海
四川,电子科技大学,2012,550.00,489.00,,29,本科一批,88,理科,青海
四川,电子科技大学,2011,524.00,467.00,,29,本科一批,87,理科,青海
四川,电子科技大学,2010,567.00,507.00,,35,本科一批,102,理科,青海
四川,电子科技大学,2009,552.00,485.00,,33,本科一批,85,理科,青海
四川,电子科技大学,2008,574.00,494.00,,30,本科一批,56,理科,青海
四川,电子科技大学,2007,591.00,543.00,,30,本科一批,76,理科,青海
四川,电子科技大学,2006,580.00,510.00,,29,本科一批,76,理科,青海
四川,电子科技大学,2005,592.00,548.00,,30,本科一批,118,理科,青海
四川,电子科技大学,2004,,,,,不详,,理科,青海
四川,电子科技大学,2003,,,,,不详,,理科,青海
四川,电子科技大学,2002,,,,,不详,,理科,青海
四川,电子科技大学,2001,,523.00,,,不详,,理科,青海
四川,电子科技大学,2013,567.00,550.00,,21,本科一批,95,理科,宁夏
四川,电子科技大学,2012,529.00,515.00,,27,本科一批,75,理科,宁夏
四川,电子科技大学,2011,568.00,549.00,,27,本科一批,63,理科,宁夏
四川,电子科技大学,2010,556.00,523.00,,27,本科一批,49,理科,宁夏
四川,电子科技大学,2009,547.00,521.00,,30,本科一批,53,理科,宁夏
四川,电子科技大学,2008,571.00,545.00,,24,本科一批,47,理科,宁夏
四川,电子科技大学,2007,608.00,579.00,,29,本科一批,48,理科,宁夏
四川,电子科技大学,2006,595.00,553.00,,25,本科一批,,理科,宁夏
四川,电子科技大学,2005,590.00,558.00,,25,本科一批,54,理科,宁夏
四川,电子科技大学,2004,,,,,不详,,理科,宁夏
四川,电子科技大学,2003,,,,,不详,,理科,宁夏
四川,电子科技大学,2002,,,,,不详,,理科,宁夏
四川,电子科技大学,2001,,553.00,,,不详,,理科,宁夏
四川,电子科技大学,2012,622.00,590.00,,97,本科一批,76,理科,黑龙江
四川,电子科技大学,2011,644.00,609.00,,96,本科一批,58,理科,黑龙江
四川,电子科技大学,2010,644.00,587.00,,84,本科一批,55,理科,黑龙江
四川,电子科技大学,2009,645.00,597.00,,87,本科一批,59,理科,黑龙江
四川,电子科技大学,2008,651.00,610.00,,65,本科一批,33,理科,黑龙江
四川,电子科技大学,2007,670.00,626.00,,49,本科一批,38,理科,黑龙江
四川,电子科技大学,2006,660.00,629.00,,52,本科一批,51,理科,黑龙江
四川,电子科技大学,2005,657.00,619.00,,66,本科一批,37,理科,黑龙江
四川,电子科技大学,2004,,,,,不详,,理科,黑龙江
四川,电子科技大学,2003,,,,,不详,,理科,黑龙江
四川,电子科技大学,2002,,,,,不详,,理科,黑龙江
四川,电子科技大学,2001,,574.00,,,不详,,理科,黑龙江
四川,电子科技大学,2013,638.00,612.00,,72,本科一批,77,理科,吉林
四川,电子科技大学,2012,621.00,585.00,,89,本科一批,70,理科,吉林
四川,电子科技大学,2011,635.00,613.00,,88,本科一批,65,理科,吉林
四川,电子科技大学,2010,627.00,588.00,,101,本科一批,58,理科,吉林
四川,电子科技大学,2009,618.00,588.00,,90,本科一批,49,理科,吉林
四川,电子科技大学,2008,646.00,619.00,,65,本科一批,50,理科,吉林
四川,电子科技大学,2007,671.00,629.00,,61,本科一批,55,理科,吉林
四川,电子科技大学,2006,657.00,628.00,,51,本科一批,58,理科,吉林
四川,电子科技大学,2005,646.00,616.00,,35,本科一批,54,理科,吉林
四川,电子科技大学,2005,643.00,594.00,,3,本科提前批,,理科,吉林
四川,电子科技大学,2004,,,,,不详,,理科,吉林
四川,电子科技大学,2003,,,,,不详,,理科,吉林
四川,电子科技大学,2002,,,,,不详,,理科,吉林
四川,电子科技大学,2001,,577.00,,,不详,,理科,吉林
四川,电子科技大学,2013,638.00,618.00,,79,本科一批,80,理科,辽宁
四川,电子科技大学,2012,630.00,597.00,,104,本科一批,80,理科,辽宁
四川,电子科技大学,2011,638.00,598.00,,102,本科一批,78,理科,辽宁
四川,电子科技大学,2010,612.00,574.00,,111,本科一批,56,理科,辽宁
四川,电子科技大学,2009,634.00,583.00,,83,本科一批,63,理科,辽宁
四川,电子科技大学,2008,613.00,581.00,,79,本科一批,66,理科,辽宁
四川,电子科技大学,2007,622.00,583.00,,50,本科一批,64,理科,辽宁
四川,电子科技大学,2006,617.00,573.00,,50,本科一批,70,理科,辽宁
四川,电子科技大学,2005,611.00,584.00,,55,本科一批,,理科,辽宁
四川,电子科技大学,2004,,,,,不详,,理科,辽宁
四川,电子科技大学,2003,,,,,不详,,理科,辽宁
四川,电子科技大学,2002,,,,,不详,,理科,辽宁
四川,电子科技大学,2001,,580.00,,,不详,,理科,辽宁
四川,电子科技大学,2013,562.00,548.00,,2,本科一批,78,理科,西藏
四川,电子科技大学,2012,543.00,522.00,,2,本科一批,62,理科,西藏
四川,电子科技大学,2011,529.00,505.00,,3,本科一批,55,理科,西藏
四川,电子科技大学,2010,492.00,478.00,,3,本科一批,23,理科,西藏
四川,电子科技大学,2008,605.00,593.00,,2,本科一批,93,理科,西藏
四川,电子科技大学,2007,542.00,528.00,,2,本科一批,13,理科,西藏
四川,电子科技大学,2005,586.00,577.00,,2,本科一批,97,理科,西藏
四川,电子科技大学,2013,603.00,551.00,,65,本科一批,108,理科,新疆
四川,电子科技大学,2012,591.00,550.00,,67,本科一批,105,理科,新疆
四川,电子科技大学,2011,635.00,582.00,,58,本科一批,109,理科,新疆
四川,电子科技大学,2010,610.00,542.00,,58,本科一批,71,理科,新疆
四川,电子科技大学,2009,609.00,545.00,,50,本科一批,65,理科,新疆
四川,电子科技大学,2008,634.00,606.00,,48,本科一批,91,理科,新疆
四川,电子科技大学,2007,629.00,591.00,,29,本科一批,73,理科,新疆
四川,电子科技大学,2006,666.00,591.00,,35,本科一批,71,理科,新疆
四川,电子科技大学,2005,649.00,618.00,,48,本科一批,111,理科,新疆
四川,电子科技大学,2003,,,,,不详,,理科,新疆
四川,电子科技大学,2002,,,,,不详,,理科,新疆
四川,电子科技大学,2001,,549.00,,,不详,,理科,新疆
四川,电子科技大学,2013,612.00,577.00,,101,本科一批,95,理科,内蒙古
四川,电子科技大学,2012,596.00,562.00,,113,本科一批,93,理科,内蒙古
四川,电子科技大学,2011,593.00,564.00,,94,本科一批,82,理科,内蒙古
四川,电子科技大学,2010,615.00,583.00,,93,本科一批,73,理科,内蒙古
四川,电子科技大学,2009,599.00,567.00,,84,本科一批,66,理科,内蒙古
四川,电子科技大学,2008,617.00,599.00,,60,本科一批,51,理科,内蒙古
四川,电子科技大学,2007,631.00,611.00,,42,本科一批,52,理科,内蒙古
四川,电子科技大学,2006,626.00,609.00,,25,本科一批,52,理科,内蒙古
四川,电子科技大学,2005,631.00,600.00,,25,本科一批,45,理科,内蒙古
四川,电子科技大学,2004,,,,,不详,,理科,内蒙古
四川,电子科技大学,2003,,,,,不详,,理科,内蒙古
四川,电子科技大学,2002,,,,,不详,,理科,内蒙古
四川,电子科技大学,2001,,577.00,,,不详,,理科,内蒙古
四川,电子科技大学,2013,757.00,713.00,,35,本科一批,105,理科,海南
四川,电子科技大学,2012,767.00,723.00,,41,本科一批,109,理科,海南
四川,电子科技大学,2011,751.00,694.00,,41,本科一批,79,理科,海南
四川,电子科技大学,2010,756.00,707.00,,42,本科一批,83,理科,海南
四川,电子科技大学,2009,794.00,720.00,,38,本科一批,88,理科,海南
四川,电子科技大学,2008,795.00,723.00,,35,本科一批,98,理科,海南
四川,电子科技大学,2007,747.00,706.00,,29,本科一批,15,理科,海南
四川,电子科技大学,2006,744.00,691.00,,25,本科一批,122,理科,海南
四川,电子科技大学,2005,717.00,676.00,,30,本科一批,,理科,海南
四川,电子科技大学,2004,,,,,不详,,理科,海南
四川,电子科技大学,2003,,,,,不详,,理科,海南
四川,电子科技大学,2002,,,,,不详,,理科,海南
四川,电子科技大学,2001,,654.00,,,不详,,理科,海南
四川,电子科技大学,2013,615.00,596.00,,86,本科一批,95,理科,福建
四川,电子科技大学,2012,636.00,616.00,,100,本科一批,70,理科,福建
四川,电子科技大学,2011,655.00,633.00,,95,本科一批,60,理科,福建
